patch	name	type	partial_mask	partial	block_addr	region_off	fine	set	vsel_addr	vel_splits	set_idx_per_velzone
243	    Gun Shot    	10	15	1	060B41	40B41	66	80	07766A	7F/7F/7F	281/281/281/281
243	    Gun Shot    	10	15	2	060B92	40B92	66	80	07766A	7F/7F/7F	281/281/281/281
244	  Tinkle Bell   	10	05	0	060C49	40C49	70	02	077725	7F/7F/7F	296/296/296/296
244	  Tinkle Bell   	10	05	1	060C9A	40C9A	70	02	077725	7F/7F/7F	296/296/296/296
245	 Rock Harmonics 	20	11	0	060D51	40D51	1B	01	076D4E	7F/7F/7F	70/70/70/70
245	 Rock Harmonics 	20	11	1	060DA2	40DA2	1E	00	076D90	7F/7F/7F	76/76/76/76
246	   Harmonium    	00	05	0	060E59	40E59	51	00	0773EC	7F/7F/7F	222/222/222/222
246	   Harmonium    	00	05	1	060EAA	40EAA	50	00	0773AA	7F/7F/7F	216/216/216/216
247	Orchestral Tuba 	20	01	0	060F61	40F61	37	00	07710B	7F/7F/7F	155/155/155/155
248	    Bagpipe     	00	11	0	061018	41018	49	00	0772D9	7F/7F/7F	197/197/197/197
248	    Bagpipe     	00	11	1	061069	41069	46	00	0772A2	7F/7F/7F	192/192/192/192
249	     Shanai     	20	15	0	061120	41120	7A	01	077864	7F/7F/7F	326/326/326/326
249	     Shanai     	20	15	1	061171	41171	42	00	07723F	7F/7F/7F	183/183/183/183
249	     Shanai     	20	15	2	0611C2	411C2	4F	00	077389	7F/7F/7F	213/213/213/213
250	  Square Lead   	20	05	0	061279	41279	79	01	07784E	7F/7F/7F	324/324/324/324
250	  Square Lead   	20	05	1	0612CA	412CA	79	01	07784E	7F/7F/7F	324/324/324/324
251	    Saw Lead    	20	05	0	061381	41381	7C	00	0778B1	7F/7F/7F	332/332/332/332
251	    Saw Lead    	20	05	1	0613D2	413D2	7C	00	0778B1	7F/7F/7F	332/332/332/332
252	   Sine Lead    	20	05	0	061489	41489	5E	01	077599	7F/7F/7F	260/260/260/260
252	   Sine Lead    	20	05	1	0614DA	414DA	5E	04	0775A4	7F/7F/7F	261/261/261/261
253	  Chiffer Lead  	20	15	0	061591	41591	77	00	0777EB	7F/7F/7F	315/315/315/315
253	  Chiffer Lead  	20	15	1	0615E2	415E2	3C	03	0771B0	7F/7F/7F	169/169/169/169
253	  Chiffer Lead  	20	15	2	061633	41633	76	06	0777E0	7F/7F/7F	309/309/309/309
254	    Charang     	20	15	0	0616EA	416EA	1E	00	076D90	7F/7F/7F	76/76/76/76
254	    Charang     	20	15	1	06173B	4173B	76	00	077788	7F/7F/7F	306/306/306/306
254	    Charang     	20	15	2	06178C	4178C	1B	01	076D4E	7F/7F/7F	70/70/70/70
255	 Metallica Solo 	20	15	0	061843	41843	2C	02	076FAB	7F/7F/7F	121/121/121/121
255	 Metallica Solo 	20	15	1	061894	41894	3D	03	0771C6	7F/7F/7F	171/171/171/171
255	 Metallica Solo 	20	15	2	0618E5	418E5	78	03	077822	7F/7F/7F	320/320/320/320
256	  Talking Lead  	20	15	0	06199C	4199C	1B	02	076D59	7F/7F/7F	71/71/71/71
256	  Talking Lead  	20	15	1	0619ED	419ED	76	00	077788	7F/7F/7F	306/306/306/306
256	  Talking Lead  	20	15	2	061A3E	41A3E	25	00	076E56	7F/7F/7F	94/94/94/94
257	   Digi Stack   	20	15	0	061AF5	41AF5	76	00	077788	7F/7F/7F	306/306/306/306
257	   Digi Stack   	20	15	1	061B46	41B46	16	00	076C9E	7F/7F/7F	54/54/54/54
257	   Digi Stack   	20	15	2	061B97	41B97	74	00	077772	7F/7F/7F	304/304/304/304
258	   80's Solo    	20	15	0	061C4E	41C4E	70	03	077730	7F/7F/7F	297/297/297/297
258	   80's Solo    	20	15	1	061C9F	41C9F	7A	00	077859	7F/7F/7F	325/325/325/325
258	   80's Solo    	20	15	2	061CF0	41CF0	73	00	077767	7F/7F/7F	303/303/303/303
259	  Steamy Keys   	20	15	0	061DA7	41DA7	02	80	076AF1	7F/7F/7F	7/7/7/7
259	  Steamy Keys   	20	15	1	061DF8	41DF8	0C	00	076BB7	7F/7F/7F	32/32/32/32
259	  Steamy Keys   	20	15	2	061E49	41E49	6B	02	0776E3	7F/7F/7F	290/290/290/290
260	  Olymp Synth   	20	11	0	061F00	41F00	77	06	0777F6	7F/7F/7F	316/316/316/316
260	  Olymp Synth   	20	11	1	061F51	41F51	76	00	077788	7F/7F/7F	306/306/306/306
261	   Voco Synth   	20	15	0	062008	42008	2E	02	07700E	7F/7F/7F	131/131/131/131
261	   Voco Synth   	20	15	1	062059	42059	7A	02	07786F	7F/7F/7F	327/327/327/327
261	   Voco Synth   	20	15	2	0620AA	420AA	73	00	077767	7F/7F/7F	303/303/303/303
262	  Block Synth   	20	05	0	062161	42161	7C	00	0778B1	7F/7F/7F	332/332/332/332
262	  Block Synth   	20	05	1	0621B2	421B2	3C	03	0771B0	7F/7F/7F	169/169/169/169
263	    5th Wave    	20	11	0	062269	42269	76	00	077788	7F/7F/7F	306/306/306/306
263	    5th Wave    	20	11	1	0622BA	422BA	76	00	077788	7F/7F/7F	306/306/306/306
264	  Bass & Lead   	20	05	0	062371	42371	2D	06	076FED	7F/7F/7F	128/128/128/128
264	  Bass & Lead   	20	05	1	0623C2	423C2	7A	01	077864	7F/7F/7F	326/326/326/326
265	 Talking Synth  	20	05	0	062479	42479	7A	02	07786F	7F/7F/7F	327/327/327/327
265	 Talking Synth  	20	05	1	0624CA	424CA	3D	03	0771C6	7F/7F/7F	171/171/171/171
266	   Synth Harp   	20	11	0	062581	42581	3D	03	0771C6	7F/7F/7F	171/171/171/171
266	   Synth Harp   	20	11	1	0625D2	425D2	24	00	076E4B	7F/7F/7F	93/93/93/93
267	   Afro Dance   	20	11	0	062689	42689	27	00	076E8D	7F/7F/7F	99/99/99/99
267	   Afro Dance   	20	11	1	0626DA	426DA	71	00	077751	7F/7F/7F	301/301/301/301
268	   Digi Bells   	20	15	0	062791	42791	70	03	077730	7F/7F/7F	297/297/297/297
268	   Digi Bells   	20	15	1	0627E2	427E2	7B	01	07789B	7F/7F/7F	330/330/330/330
268	   Digi Bells   	20	15	2	062833	42833	7B	01	07789B	7F/7F/7F	330/330/330/330
269	    Crystal     	00	15	0	0628EA	428EA	0B	00	076BAC	7F/7F/7F	31/31/31/31
269	    Crystal     	00	15	1	06293B	4293B	5E	01	077599	7F/7F/7F	260/260/260/260
269	    Crystal     	00	15	2	06298C	4298C	09	00	076B96	7F/7F/7F	29/29/29/29
270	Mellow Ensemble 	20	11	0	062A43	42A43	6B	01	0776D8	7F/7F/7F	289/289/289/289
270	Mellow Ensemble 	20	11	1	062A94	42A94	77	00	0777EB	7F/7F/7F	315/315/315/315
271	 Warm Synth Pad 	20	11	0	062B4B	42B4B	76	00	077788	7F/7F/7F	306/306/306/306
271	 Warm Synth Pad 	20	11	1	062B9C	42B9C	76	00	077788	7F/7F/7F	306/306/306/306
272	   Spacy Pad    	20	05	0	062C53	42C53	68	04	0776AC	7F/7F/7F	286/286/286/286
272	   Spacy Pad    	20	05	1	062CA4	42CA4	76	06	0777E0	7F/7F/7F	309/309/309/309
273	   Metal Pad    	20	11	0	062D5B	42D5B	7A	02	07786F	7F/7F/7F	327/327/327/327
273	   Metal Pad    	20	11	1	062DAC	42DAC	78	02	077817	7F/7F/7F	319/319/319/319
274	   Star Theme   	20	15	0	062E63	42E63	6B	01	0776D8	7F/7F/7F	289/289/289/289
274	   Star Theme   	20	15	1	062EB4	42EB4	6B	01	0776D8	7F/7F/7F	289/289/289/289
274	   Star Theme   	20	15	2	062F05	42F05	78	02	077817	7F/7F/7F	319/319/319/319
275	  Bowed Glass   	20	11	0	062FBC	42FBC	0C	00	076BB7	7F/7F/7F	32/32/32/32
275	  Bowed Glass   	20	11	1	06300D	4300D	5E	01	077599	7F/7F/7F	260/260/260/260
276	   Atmosphere   	20	05	0	0630C4	430C4	15	00	076C88	7F/7F/7F	52/52/52/52
276	   Atmosphere   	20	05	1	063115	43115	3C	01	0771A5	7F/7F/7F	168/168/168/168
277	    Fantasia    	20	15	0	0631CC	431CC	77	00	0777EB	7F/7F/7F	315/315/315/315
277	    Fantasia    	20	15	1	06321D	4321D	74	00	077772	7F/7F/7F	304/304/304/304
277	    Fantasia    	20	15	2	06326E	4326E	07	00	076B6A	7F/7F/7F	25/25/25/25
278	 Multi Sweeper  	20	55	0	063325	43325	76	02	0777A9	7F/7F/7F	307/307/307/307
278	 Multi Sweeper  	20	55	1	063376	43376	76	06	0777E0	7F/7F/7F	309/309/309/309
278	 Multi Sweeper  	20	55	2	0633C7	433C7	77	06	0777F6	7F/7F/7F	316/316/316/316
278	 Multi Sweeper  	20	55	3	063418	43418	68	02	0776A1	7F/7F/7F	285/285/285/285
279	    Bell Pad    	20	15	0	0634CF	434CF	6B	01	0776D8	7F/7F/7F	289/289/289/289
279	    Bell Pad    	20	15	1	063520	43520	7B	02	0778A6	7F/7F/7F	331/331/331/331
279	    Bell Pad    	20	15	2	063571	43571	74	00	077772	7F/7F/7F	304/304/304/304
280	     Dream      	20	15	0	063628	43628	6B	01	0776D8	7F/7F/7F	289/289/289/289
