page	class	chunk	param_ptr	wave_off	rom_start	rom_end	samples	shared	param_record
2	6	153	0x1F68	0xD2FE	0x2D2FE0	0x2D3060	64	1	
2	6	154	0x1F6A	0xD306	0x2D3060	0x2D30E0	64	1	
2	6	155	0x1F6C	0xD30E	0x2D30E0	0x2D3160	64	1	
2	6	156	0x1F6E	0xD316	0x2D3160	0x2D31E0	64	1	
2	6	157	0x1F70	0xD31E	0x2D31E0	0x2D3260	64	1	
2	6	158	0x1F72	0xD326	0x2D3260	0x2D32E0	64	1	
2	6	159	0x1F74	0xD32E	0x2D32E0	0x2D3360	64	1	
2	6	160	0x1F76	0xD336	0x2D3360	0x2D33E0	64	1	
2	6	161	0x1F78	0xD33E	0x2D33E0	0x2D3460	64	1	
2	6	162	0x1F7A	0xD346	0x2D3460	0x2D34E0	64	1	
2	6	163	0x1F7C	0xD34E	0x2D34E0	0x2D3560	64	1	
2	6	164	0x1F7E	0xD356	0x2D3560	0x2D35E0	64	1	
2	6	165	0x1F80	0xD35E	0x2D35E0	0x2D36E0	128	1	
2	6	166	0x1F82	0xD36E	0x2D36E0	0x2D3760	64	1	
2	6	167	0x1F84	0xD376	0x2D3760	0x2D37E0	64	1	
2	6	168	0x1F86	0xD37E	0x2D37E0	0x2D3860	64	1	
2	6	169	0x1F88	0xD386	0x2D3860	0x2D38E0	64	1	
2	6	170	0x1F8A	0xD38E	0x2D38E0	0x2D3960	64	1	
2	6	171	0x1F8C	0xD396	0x2D3960	0x2D39E0	64	1	
2	6	172	0x1F8E	0xD39E	0x2D39E0	0x2D3A60	64	1	
2	6	173	0x1F90	0xD3A6	0x2D3A60	0x2D3AE0	64	1	
2	6	174	0x1F92	0xD3AE	0x2D3AE0	0x2D3BE0	128	1	
2	6	175	0x1F94	0xD3BE	0x2D3BE0	0x2D3C60	64	1	
2	6	176	0x1F96	0xD3C6	0x2D3C60	0x2D3CE0	64	1	
2	6	177	0x1F98	0xD3CE	0x2D3CE0	0x2D3D60	64	1	
2	6	178	0x1F9A	0xD3D6	0x2D3D60	0x2D3DE0	64	1	
2	6	179	0x1F9C	0xD3DE	0x2D3DE0	0x2D3E60	64	1	
2	6	180	0x1F9E	0xD3E6	0x2D3E60	0x2D3EE0	64	1	
2	6	181	0x1FA0	0xD3EE	0x2D3EE0	0x2D3F60	64	1	
2	6	182	0x1FA2	0xD3F6	0x2D3F60	0x2D3FE0	64	1	
2	6	183	0x1FA4	0xD3FE	0x2D3FE0	0x2D40E0	128	1	
2	6	184	0x1FA6	0xD40E	0x2D40E0	0x2D4160	64	1	
2	6	185	0x1FA8	0xD416	0x2D4160	0x2D41E0	64	1	
2	6	186	0x1FAA	0xD41E	0x2D41E0	0x2D4260	64	1	
2	6	187	0x1FAC	0xD426	0x2D4260	0x2D42E0	64	1	
2	6	188	0x1FAE	0xD42E	0x2D42E0	0x2D4360	64	1	
2	6	189	0x1FB0	0xD436	0x2D4360	0x2D43E0	64	1	
2	6	190	0x1FB2	0xD43E	0x2D43E0	0x2D4460	64	1	
2	6	191	0x1FB4	0xD446	0x2D4460	0x2D44E0	64	1	
2	6	192	0x1FB6	0xD44E	0x2D44E0	0x2D45E0	128	1	
2	6	193	0x1FB8	0xD45E	0x2D45E0	0x2D4660	64	1	
2	6	194	0x1FBA	0xD466	0x2D4660	0x2D46E0	64	1	
2	6	195	0x1FBC	0xD46E	0x2D46E0	0x2D4760	64	1	
2	6	196	0x1FBE	0xD476	0x2D4760	0x2D47E0	64	1	
2	6	197	0x1FC0	0xD47E	0x2D47E0	0x2D4860	64	1	
2	6	198	0x1FC2	0xD486	0x2D4860	0x2D48E0	64	1	
2	6	199	0x1FC4	0xD48E	0x2D48E0	0x2D4960	64	1	
2	6	200	0x1FC6	0xD496	0x2D4960	0x2D49E0	64	1	
2	6	201	0x1FC8	0xD49E	0x2D49E0	0x2D4AE0	128	1	
2	6	202	0x1FCA	0xD4AE	0x2D4AE0	0x2D4B60	64	1	
2	6	203	0x1FCC	0xD4B6	0x2D4B60	0x2D4BE0	64	1	
2	6	204	0x1FCE	0xD4BE	0x2D4BE0	0x2D4C60	64	1	
2	6	205	0x1FD0	0xD4C6	0x2D4C60	0x2D4CE0	64	1	
2	6	206	0x1FD2	0xD4CE	0x2D4CE0	0x2D4D60	64	1	
2	6	207	0x1FD4	0xD4D6	0x2D4D60	0x2D4DE0	64	1	
2	6	208	0x1FD6	0xD4DE	0x2D4DE0	0x2D4E60	64	1	
2	6	209	0x1FD8	0xD4E6	0x2D4E60	0x2D4EE0	64	1	
2	6	210	0x1FDA	0xD4EE	0x2D4EE0	0x2D4FE0	128	1	
2	6	211	0x1FDC	0xD4FE	0x2D4FE0	0x2D5060	64	1	
2	6	212	0x1FDE	0xD506	0x2D5060	0x2D50E0	64	1	
2	6	213	0x1FE0	0xD50E	0x2D50E0	0x2D5160	64	1	
2	6	214	0x1FE2	0xD516	0x2D5160	0x2D51E0	64	1	
