=== 241 segments across 12 runs ===
verdicts: FAIL=0  SUSPECT=0  WATCH=0  PASS=241
verdict  run  effect                                   fpeak%FS  clip frail  DACpk  upl  why
PASS     S1   SoundDSP/Mixup/Mixup1                         4.7     0     0    932  670  
PASS     S2   SoundDSP/Vibrato/Vibrato3                     4.7     0     0    999  198  
PASS     S5   SoundDSP/ModCeleste/Mod. Cel.2                4.7     0     0   1113  186  
PASS     M1   Multi/CrossDelay/Shallow1                     4.7     0     0    959    0  
PASS     M2   Multi/Limiter/Limiter4                        4.7     0     0    959  114  
PASS     M3   Multi/LFOFilter/For 2Beat 1                   4.7     0     0    959  693  
PASS     M4   Multi/ReverseWah/Wah6                         4.7     0     0    959  102  
PASS     M5   Multi/MultiTapDelay/Multi5                    4.7     0     0    959  286  
PASS     M5   Multi/MultiTapDelay/Multi6                    4.7     0     0    959  286  
PASS     M5   Multi/MultiTapDelay/Multi7                    4.7     0     0    959  286  
PASS     M5   Multi/DelayComplex/Delay+Vibrato              4.7     0     0    959  700  
PASS     S1   SoundDSP/Enhancer/Enhancer1                   4.7     0     0    969  158  
PASS     S1   SoundDSP/ParametricEQ/Make Up                 4.7     0     0    942  691  
PASS     S1   SoundDSP/RingModulator/Ring Mod.4             4.7     0     0   1018  186  
PASS     S2   SoundDSP/Vibrato/Vibrato8                     4.7     0     0    937  198  
PASS     S3   SoundDSP/FlangerDryWet/Dry/Wet 7              4.7     0     0   1072  248  
PASS     S4   SoundDSP/Flanger/Deep6                        4.7     0     0   1079  248  
PASS     S4   SoundDSP/Phaser/Deep6                         4.7     0     0    936  222  
PASS     R1   Chorus/Chorus4                                4.6     0     0   1134    0  
PASS     R1   Reverb/Concert1                               4.6     0     0    902    0  
PASS     M2   Multi/DistortedAmp/Loud1                      4.6     0     0    895  633  
PASS     M5   Multi/VocalEffect/Voice Changer2              4.6     0     0    895   78  
PASS     S2   SoundDSP/AutoPan/Auto Pan1                    4.6     0     0    897  561  
PASS     S5   SoundDSP/Celeste/Celeste8                     4.6     0     0    990  162  
PASS     M2   Multi/DistortedAmp/Loud4                      4.5     0     0    962  633  
PASS     M3   Multi/Overdrive/Hard                          4.5     0     0    962  138  
PASS     S5   SoundDSP/ModCeleste/Mod. Cel.8                4.5     0     0   1023  186  
PASS     S4   SoundDSP/Flanger/Deep5                        4.4     0     0    935  248  
PASS     S1   SoundDSP/ParametricEQ/Middle Cut              4.4     0     0   1100  306  
PASS     S3   SoundDSP/RockRotary/Mellow Twin               4.4     0     0   1101  604  
PASS     S3   SoundDSP/FlangerDryWet/Dry/Wet 1              4.4     0     0   1065  691  
PASS     S1   SoundDSP/Enhancer/Enhancer2                   4.4     0     0    973  158  
PASS     S1   SoundDSP/Mixup/Mixup4                         4.3     0     0   1055  210  
PASS     M4   Multi/LFOWah/For 2Beat 1                      4.3     0     0    900  606  
PASS     S4   SoundDSP/PhaserDryWet/Dry/Wet 1               4.3     0     0   1041  728  
PASS     S4   SoundDSP/Phaser/Deep7                         4.3     0     0   1103  222  
PASS     M2   Multi/Compressor/Comp.4                       4.3     0     0    964  114  
PASS     S5   SoundDSP/Exciter/Exciter2                     4.3     0     0   1098  126  
PASS     S4   SoundDSP/PhaserDryWet/Dry/Wet 3               4.2     0     0   1083  222  
PASS     R1   BASELINE                                      4.1     0     0    957    0  
PASS     R1B  BASELINE                                      4.1     0     0    957    0  
PASS     R1B  Chorus/Chorus2                                4.1     0     0    957  282  
PASS     M1   BASELINE                                      4.1     0     0    957    0  
PASS     M2   BASELINE                                      4.1     0     0    957    0  
PASS     M2   Multi/DistortedAmp/Normal3                    4.1     0     0    957  633  
PASS     M3   BASELINE                                      4.1     0     0    957    0  
PASS     M3   Multi/Overdrive/Mild                          4.1     0     0    957  138  
PASS     M3   Multi/Distortion/Mild                         4.1     0     0    957  138  
PASS     M4   BASELINE                                      4.1     0     0    957    0  
PASS     M4   Multi/PedalWah/Wah1                           4.1     0     0    957  418  
PASS     M5   BASELINE                                      4.1     0     0    957    0  
PASS     S1   BASELINE                                      4.1     0     0    957    0  
PASS     S2   BASELINE                                      4.1     0     0    957    0  
PASS     S2   SoundDSP/Vibrato/Vibrato1                     4.1     0     0    993  590  
