kn5000_subcpu_boot.ic30 ROM NEEDS REDUMP
kn5000_rhythm_data_rom.ic14 ROM NEEDS REDUMP
kn5000_waveform_rom.ic307 ROM NEEDS REDUMP
kn5000_waveform_rom.ic307 ROM NEEDS REDUMP
kn5000_waveform_rom.ic307 ROM NEEDS REDUMP
WARNING: the machine might not run correctly.
P9 t=178 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=179 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=180 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=181 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=182 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=183 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=184 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=185 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=186 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=187 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=188 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=189 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=190 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=191 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=192 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=193 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=194 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=195 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=196 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=197 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=198 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=199 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=200 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=201 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=202 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=203 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=204 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=205 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=206 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=207 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=208 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=209 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=210 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=211 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=212 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=213 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=214 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=215 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=216 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=217 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=218 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=219 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=220 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=221 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=222 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=223 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=224 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=225 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=226 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=227 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=228 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=229 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=230 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=231 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=232 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=233 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=234 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=235 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=236 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=237 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=238 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=239 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=240 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=241 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=242 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=243 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=244 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=245 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=246 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=247 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=248 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=249 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=250 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=251 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=252 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=253 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=254 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=255 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=256 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=257 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=258 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=259 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=260 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=261 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=262 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=263 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=264 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=265 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=266 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=267 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=268 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=269 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=270 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=271 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=272 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=273 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=274 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=275 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=276 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=277 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=278 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=279 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=280 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=281 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=282 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=283 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=284 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=285 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=286 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=287 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=288 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=289 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=290 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=291 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=292 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=293 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=294 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=295 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=296 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=297 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=298 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=299 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=300 transport=00 subtick=00 wd=00 acc=00 8d38=01
Average speed: 116.53% (299 seconds)
