kn5000_subcpu_boot.ic30 ROM NEEDS REDUMP
kn5000_rhythm_data_rom.ic14 ROM NEEDS REDUMP
kn5000_waveform_rom.ic307 ROM NEEDS REDUMP
kn5000_waveform_rom.ic307 ROM NEEDS REDUMP
kn5000_waveform_rom.ic307 ROM NEEDS REDUMP
WARNING: the machine might not run correctly.
P9 t=257 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=258 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=259 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=260 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=261 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=262 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=263 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=264 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=265 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=266 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=267 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=268 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=269 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=270 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=271 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=272 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=273 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=274 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=275 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=276 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=277 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=278 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=279 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=280 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=281 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=282 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=283 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=284 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=285 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=286 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=287 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=288 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=289 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=290 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=291 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=292 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=293 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=294 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=295 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=296 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=297 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=298 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=299 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=300 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=301 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=302 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=303 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=304 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=305 transport=00 subtick=18 wd=00 acc=00 8d38=E4
